"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (6),0.02857143,0.9714286,0.4,35
camera (7),0.02857143,0.9714286,0.8,35

camera (0),0,1,0.6666667,36
camera (1),0,1,0.8333333,36
camera (2),0.7777778,0.2222222,0.1944444,36
camera (3),0,1,0.8055556,36
camera (4),0,1,0.1944444,36
camera (5),0.3888889,0.6111111,0.3055556,36
camera (6),0.02777778,0.9722222,0.3888889,36
camera (7),0.02777778,0.9722223,0.8055556,36

camera (0),0,1,0.6756757,37
camera (1),0,1,0.8378378,37
camera (2),0.7837838,0.2162162,0.1891892,37
camera (3),0,1,0.8108108,37
camera (4),0,1,0.1891892,37
camera (5),0.3783784,0.6216216,0.3243243,37
camera (6),0.02702703,0.972973,0.3783784,37
camera (7),0.02702703,0.972973,0.8108108,37

camera (0),0,1,0.6842105,38
camera (1),0,1,0.8421053,38
camera (2),0.7894737,0.2105263,0.1842105,38
camera (3),0,1,0.8157895,38
camera (4),0,1,0.1842105,38
camera (5),0.368421,0.6315789,0.3421053,38
camera (6),0.02631579,0.9736842,0.368421,38
camera (7),0.02631579,0.9736842,0.8157895,38

camera (0),0,1,0.6923077,39
camera (1),0,1,0.8461539,39
camera (2),0.7948718,0.2051282,0.1794872,39
camera (3),0,1,0.8205128,39
camera (4),0,1,0.1794872,39
camera (5),0.3589744,0.6410257,0.3589744,39
camera (6),0.02564103,0.974359,0.3589744,39
camera (7),0.02564103,0.974359,0.8205128,39

camera (0),0,1,0.7,40
camera (1),0,1,0.85,40
camera (2),0.8,0.2,0.175,40
camera (3),0,1,0.825,40
camera (4),0,1,0.175,40
camera (5),0.35,0.65,0.375,40
camera (6),0.025,0.975,0.35,40
camera (7),0.025,0.975,0.825,40

camera (0),0,1,0.6829268,41
camera (1),0,1,0.8536586,41
camera (2),0.8048781,0.1951219,0.1707317,41
camera (3),0,1,0.8292683,41
camera (4),0,1,0.1707317,41
camera (5),0.3414634,0.6585366,0.3902439,41
camera (6),0.02439024,0.9756098,0.3658537,41
camera (7),0.02439024,0.9756097,0.8292683,41

camera (0),0,1,0.6666667,42
camera (1),0,1,0.8571429,42
camera (2),0.8095238,0.1904762,0.1666667,42
camera (3),0,1,0.8095238,42
camera (4),0,1,0.1666667,42
camera (5),0.3333333,0.6666667,0.4047619,42
camera (6),0.02380952,0.9761904,0.3809524,42
camera (7),0.02380952,0.9761904,0.8333333,42

camera (0),0,1,0.6511628,43
camera (1),0,1,0.8604651,43
camera (2),0.8139535,0.1860465,0.1627907,43
camera (3),0,1,0.7906977,43
camera (4),0,1,0.1627907,43
camera (5),0.3255814,0.6744186,0.4186046,43
camera (6),0.02325581,0.9767442,0.372093,43
camera (7),0.02325581,0.9767442,0.8372093,43

camera (0),0,1,0.6590909,44
camera (1),0,1,0.8636364,44
camera (2),0.8181818,0.1818182,0.1590909,44
camera (3),0,1,0.7954546,44
camera (4),0,1,0.1590909,44
camera (5),0.3181818,0.6818182,0.4318182,44
camera (6),0.02272727,0.9772727,0.3863636,44
camera (7),0.02272727,0.9772727,0.8409091,44

camera (0),0,1,0.6666667,45
camera (1),0,1,0.8666667,45
camera (2),0.8222222,0.1777778,0.1555556,45
camera (3),0,1,0.8,45
camera (4),0,1,0.1555556,45
camera (5),0.3111111,0.6888889,0.4444444,45
camera (6),0.02222222,0.9777778,0.4,45
camera (7),0.02222222,0.9777778,0.8444445,45

camera (0),0,1,0.6739131,46
camera (1),0,1,0.8695652,46
camera (2),0.8260869,0.173913,0.1521739,46
camera (3),0,1,0.8043478,46
camera (4),0,1,0.1521739,46
camera (5),0.3043478,0.6956522,0.4565217,46
camera (6),0.02173913,0.9782609,0.4130435,46
camera (7),0.02173913,0.9782609,0.8478261,46

camera (0),0,1,0.680851,47
camera (1),0,1,0.8723404,47
camera (2),0.8297873,0.1702128,0.1489362,47
camera (3),0,1,0.8085107,47
camera (4),0,1,0.1489362,47
camera (5),0.2978723,0.7021277,0.4680851,47
camera (6),0.0212766,0.9787234,0.4255319,47
camera (7),0.0212766,0.9787234,0.8510638,47

camera (0),0,1,0.6875,48
camera (1),0,1,0.875,48
camera (2),0.8333333,0.1666667,0.1458333,48
camera (3),0,1,0.8125,48
camera (4),0,1,0.1666667,48
camera (5),0.2916667,0.7083333,0.4791667,48
camera (6),0.02083333,0.9791667,0.4375,48
camera (7),0.02083333,0.9791667,0.8541667,48

camera (0),0,1,0,1
camera (1),0,1,0,1
camera (2),0,1,0,1
camera (3),0,1,0,1
camera (4),0,1,0,1
camera (5),1,0,0,1
camera (6),1,0,0,1
camera (7),1,0,0,1

camera (0),0,1,0.5,2
camera (1),0,1,0.5,2
camera (2),0,1,0.5,2
camera (3),0,1,0.5,2
camera (4),0,1,0.5,2
camera (5),1,0,0,2
camera (6),0.5,0.5,0.5,2
camera (7),0.5,0.5,0.5,2

camera (0),0,1,0.6666667,3
camera (1),0,1,0.6666667,3
camera (2),0,1,0.6666667,3
camera (3),0,1,0.6666667,3
camera (4),0,1,0.6666667,3
camera (5),0.6666667,0.3333333,0.3333333,3
camera (6),0.3333333,0.6666667,0.6666667,3
camera (7),0.3333333,0.6666667,0.6666667,3

camera (0),0,1,0.75,4
camera (1),0,1,0.75,4
camera (2),0,1,0.75,4
camera (3),0,1,0.75,4
camera (4),0,1,0.75,4
camera (5),0.5,0.5,0.5,4
camera (6),0.25,0.75,0.75,4
camera (7),0.25,0.75,0.75,4

camera (0),0,1,0.8,5
camera (1),0,1,0.8,5
camera (2),0,1,0.8,5
camera (3),0,1,0.8,5
camera (4),0,1,0.8,5
camera (5),0.4,0.6,0.6,5
camera (6),0.2,0.8,0.8,5
camera (7),0.2,0.8,0.8,5

camera (0),0,1,0.8333333,6
camera (1),0,1,0.8333333,6
camera (2),0,1,0.8333333,6
camera (3),0,1,0.8333333,6
camera (4),0,1,0.8333333,6
camera (5),0.3333333,0.6666667,0.6666667,6
camera (6),0.1666667,0.8333333,0.8333333,6
camera (7),0.1666667,0.8333333,0.8333333,6

camera (0),0,1,0.8571429,7
camera (1),0,1,0.8571429,7
camera (2),0,1,0.8571429,7
camera (3),0,1,0.8571429,7
camera (4),0,1,0.7142857,7
camera (5),0.2857143,0.7142857,0.7142857,7
camera (6),0.1428571,0.8571429,0.8571429,7
camera (7),0.1428571,0.8571429,0.8571429,7

camera (0),0,1,0.875,8
camera (1),0,1,0.875,8
camera (2),0,1,0.875,8
camera (3),0,1,0.875,8
camera (4),0,1,0.625,8
camera (5),0.25,0.75,0.75,8
camera (6),0.125,0.875,0.875,8
camera (7),0.125,0.875,0.875,8

camera (0),0,1,0.8888889,9
camera (1),0,1,0.8888889,9
camera (2),0.1111111,0.8888889,0.7777778,9
camera (3),0,1,0.8888889,9
camera (4),0,1,0.5555556,9
camera (5),0.2222222,0.7777778,0.7777778,9
camera (6),0.1111111,0.8888889,0.8888889,9
camera (7),0.1111111,0.8888889,0.8888889,9

camera (0),0,1,0.9,10
camera (1),0,1,0.9,10
camera (2),0.2,0.8,0.7,10
camera (3),0,1,0.9,10
camera (4),0,1,0.6,10
camera (5),0.2,0.8,0.8,10
camera (6),0.1,0.9,0.9,10
camera (7),0.1,0.9,0.9,10

camera (0),0,1,0.9090909,11
camera (1),0,1,0.9090909,11
camera (2),0.2727273,0.7272727,0.6363636,11
camera (3),0,1,0.9090909,11
camera (4),0,1,0.5454546,11
camera (5),0.1818182,0.8181818,0.8181818,11
camera (6),0.09090909,0.9090909,0.9090909,11
camera (7),0.09090909,0.9090909,0.9090909,11

camera (0),0,1,0.9166667,12
camera (1),0,1,0.9166667,12
camera (2),0.3333333,0.6666666,0.5833333,12
camera (3),0,1,0.9166667,12
camera (4),0,1,0.5,12
camera (5),0.1666667,0.8333333,0.8333333,12
camera (6),0.08333334,0.9166666,0.8333333,12
camera (7),0.08333334,0.9166667,0.9166667,12

camera (0),0,1,0.9230769,13
camera (1),0,1,0.9230769,13
camera (2),0.3846154,0.6153846,0.5384616,13
camera (3),0,1,0.9230769,13
camera (4),0,1,0.4615385,13
camera (5),0.1538462,0.8461539,0.8461539,13
camera (6),0.07692308,0.9230769,0.8461539,13
camera (7),0.07692308,0.9230769,0.9230769,13

camera (0),0,1,0.9285714,14
camera (1),0,1,0.9285714,14
camera (2),0.4285714,0.5714286,0.5,14
camera (3),0,1,0.9285714,14
camera (4),0,1,0.4285714,14
camera (5),0.1428571,0.8571429,0.7857143,14
camera (6),0.07142857,0.9285714,0.7857143,14
camera (7),0.07142857,0.9285714,0.9285714,14

camera (0),0,1,0.9333333,15
camera (1),0,1,0.9333333,15
camera (2),0.4666667,0.5333334,0.4666667,15
camera (3),0,1,0.9333333,15
camera (4),0,1,0.4,15
camera (5),0.1333333,0.8666667,0.7333333,15
camera (6),0.06666667,0.9333333,0.7333333,15
camera (7),0.06666667,0.9333333,0.9333333,15

camera (0),0,1,0.9375,16
camera (1),0,1,0.9375,16
camera (2),0.5,0.5,0.4375,16
camera (3),0,1,0.9375,16
camera (4),0,1,0.375,16
camera (5),0.125,0.875,0.6875,16
camera (6),0.0625,0.9375,0.6875,16
camera (7),0.0625,0.9375,0.9375,16

camera (0),0,1,0.9411765,17
camera (1),0,1,0.9411765,17
camera (2),0.5294118,0.4705882,0.4117647,17
camera (3),0,1,0.9411765,17
camera (4),0,1,0.3529412,17
camera (5),0.1176471,0.8823529,0.6470588,17
camera (6),0.05882353,0.9411765,0.6470588,17
camera (7),0.05882353,0.9411765,0.9411765,17

camera (0),0,1,0.8888889,18
camera (1),0,1,0.9444444,18
camera (2),0.5555556,0.4444444,0.3888889,18
camera (3),0,1,0.8888889,18
camera (4),0,1,0.3333333,18
camera (5),0.1111111,0.8888889,0.6111111,18
camera (6),0.05555556,0.9444444,0.6111111,18
camera (7),0.05555556,0.9444445,0.8888889,18

camera (0),0,1,0.8421053,19
camera (1),0,1,0.8947368,19
camera (2),0.5789474,0.4210526,0.368421,19
camera (3),0,1,0.8421053,19
camera (4),0,1,0.3157895,19
camera (5),0.1052632,0.8947368,0.5789474,19
camera (6),0.05263158,0.9473684,0.5789474,19
camera (7),0.05263158,0.9473684,0.8421053,19

camera (0),0,1,1,1
camera (1),0,1,0,1
camera (2),0,1,1,1
camera (3),0,1,0,1
camera (4),0,1,1,1
camera (5),1,0,0,1
camera (6),0,1,1,1
camera (7),1,0,0,1

camera (0),0,1,1,2
camera (1),0,1,0.5,2
camera (2),0,1,1,2
camera (3),0,1,0.5,2
camera (4),0,1,1,2
camera (5),1,0,0,2
camera (6),0,1,1,2
camera (7),0.5,0.5,0.5,2

camera (0),0,1,1,3
camera (1),0,1,0.6666667,3
camera (2),0,1,1,3
camera (3),0,1,0.6666667,3
camera (4),0,1,1,3
camera (5),0.6666667,0.3333333,0.3333333,3
camera (6),0,1,1,3
camera (7),0.3333333,0.6666667,0.6666667,3

camera (0),0,1,1,4
camera (1),0,1,0.75,4
camera (2),0,1,1,4
camera (3),0,1,0.75,4
camera (4),0,1,1,4
camera (5),0.5,0.5,0.5,4
camera (6),0,1,1,4
camera (7),0.25,0.75,0.75,4

camera (0),0,1,1,5
camera (1),0,1,0.8,5
camera (2),0,1,1,5
camera (3),0,1,0.8,5
camera (4),0,1,1,5
camera (5),0.4,0.6,0.6,5
camera (6),0,1,1,5
camera (7),0.2,0.8,0.8,5

camera (0),0,1,1,6
camera (1),0,1,0.8333333,6
camera (2),0,1,1,6
camera (3),0,1,0.8333333,6
camera (4),0,1,1,6
camera (5),0.3333333,0.6666667,0.6666667,6
camera (6),0,1,1,6
camera (7),0.1666667,0.8333333,0.8333333,6

camera (0),0,1,1,7
camera (1),0,1,0.8571429,7
camera (2),0,1,1,7
camera (3),0,1,0.8571429,7
camera (4),0,1,1,7
camera (5),0.2857143,0.7142857,0.7142857,7
camera (6),0,1,1,7
camera (7),0.1428571,0.8571429,0.8571429,7

camera (0),0,1,1,8
camera (1),0,1,0.875,8
camera (2),0,1,1,8
camera (3),0,1,0.875,8
camera (4),0,1,0.875,8
camera (5),0.25,0.75,0.75,8
camera (6),0,1,1,8
camera (7),0.125,0.875,0.875,8

camera (0),0,1,1,9
camera (1),0,1,0.8888889,9
camera (2),0.1111111,0.8888889,0.8888889,9
camera (3),0,1,0.8888889,9
camera (4),0,1,0.7777778,9
camera (5),0.2222222,0.7777778,0.7777778,9
camera (6),0,1,1,9
camera (7),0.1111111,0.8888889,0.8888889,9

camera (0),0,1,1,10
camera (1),0,1,0.9,10
camera (2),0.2,0.8,0.8,10
camera (3),0,1,0.9,10
camera (4),0,1,0.7,10
camera (5),0.2,0.8,0.8,10
camera (6),0,1,1,10
camera (7),0.1,0.9,0.9,10

camera (0),0,1,1,11
camera (1),0,1,0.9090909,11
camera (2),0.2727273,0.7272727,0.7272727,11
camera (3),0,1,0.9090909,11
camera (4),0,1,0.6363636,11
camera (5),0.1818182,0.8181818,0.8181818,11
camera (6),0,1,1,11
camera (7),0.09090909,0.9090909,0.9090909,11

camera (0),0,1,1,12
camera (1),0,1,0.9166667,12
camera (2),0.3333333,0.6666667,0.6666667,12
camera (3),0,1,0.9166667,12
camera (4),0,1,0.5833333,12
camera (5),0.1666667,0.8333333,0.8333333,12
camera (6),0,1,1,12
camera (7),0.08333334,0.9166667,0.9166667,12

camera (0),0,1,1,13
camera (1),0,1,0.9230769,13
camera (2),0.3846154,0.6153846,0.6153846,13
camera (3),0,1,0.9230769,13
camera (4),0,1,0.5384616,13
camera (5),0.1538462,0.8461539,0.7692308,13
camera (6),0,1,0.9230769,13
camera (7),0.07692308,0.9230769,0.9230769,13

camera (0),0,1,1,14
camera (1),0,1,0.9285714,14
camera (2),0.4285714,0.5714286,0.5714286,14
camera (3),0,1,0.9285714,14
camera (4),0,1,0.5,14
camera (5),0.1428571,0.8571429,0.7142857,14
camera (6),0,1,0.9285714,14
camera (7),0.07142857,0.9285714,0.9285714,14

camera (0),0,1,1,15
camera (1),0,1,0.9333333,15
camera (2),0.4666667,0.5333334,0.5333334,15
camera (3),0,1,0.9333333,15
camera (4),0,1,0.4666667,15
camera (5),0.1333333,0.8666667,0.6666667,15
camera (6),0,1,0.9333333,15
camera (7),0.06666667,0.9333333,0.9333333,15

camera (0),0,1,1,16
camera (1),0,1,0.9375,16
camera (2),0.5,0.5,0.5,16
camera (3),0,1,0.9375,16
camera (4),0,1,0.4375,16
camera (5),0.125,0.875,0.625,16
camera (6),0,1,0.875,16
camera (7),0.0625,0.9375,0.9375,16

camera (0),0,1,1,17
camera (1),0,1,0.9411765,17
camera (2),0.5294118,0.4705882,0.4705882,17
camera (3),0,1,0.9411765,17
camera (4),0,1,0.4117647,17
camera (5),0.1176471,0.8823529,0.5882353,17
camera (6),0,1,0.8235294,17
camera (7),0.05882353,0.9411765,0.9411765,17

camera (0),0,1,0.9444444,18
camera (1),0,1,0.8888889,18
camera (2),0.5555556,0.4444444,0.4444444,18
camera (3),0,1,0.8888889,18
camera (4),0,1,0.3888889,18
camera (5),0.1111111,0.888889,0.5555556,18
camera (6),0,1,0.7777778,18
camera (7),0.05555556,0.9444445,0.8888889,18

camera (0),0,1,0.8947368,19
camera (1),0,1,0.8421053,19
camera (2),0.5789474,0.4210526,0.4210526,19
camera (3),0,1,0.8421053,19
camera (4),0,1,0.368421,19
camera (5),0.1052632,0.8947369,0.5263158,19
camera (6),0,1,0.7368421,19
camera (7),0.05263158,0.9473684,0.8421053,19

camera (0),0,1,0.85,20
camera (1),0,1,0.8,20
camera (2),0.6,0.4,0.4,20
camera (3),0,1,0.8,20
camera (4),0,1,0.35,20
camera (5),0.1,0.9,0.5,20
camera (6),0,1,0.7,20
camera (7),0.05,0.95,0.8,20

camera (0),0,1,0.8095238,21
camera (1),0,1,0.7619048,21
camera (2),0.6190476,0.3809524,0.3809524,21
camera (3),0,1,0.7619048,21
camera (4),0,1,0.3333333,21
camera (5),0.0952381,0.9047619,0.4761905,21
camera (6),0,1,0.6666667,21
camera (7),0.04761905,0.952381,0.7619048,21

camera (0),0,1,0.8181818,22
camera (1),0,1,0.7272727,22
camera (2),0.6363636,0.3636364,0.3636364,22
camera (3),0,1,0.7272727,22
camera (4),0,1,0.3181818,22
camera (5),0.09090909,0.9090909,0.4545455,22
camera (6),0,1,0.6363636,22
camera (7),0.04545455,0.9545455,0.7272727,22

camera (0),0,1,0.8260869,23
camera (1),0,1,0.6956522,23
camera (2),0.6521739,0.3478261,0.3478261,23
camera (3),0,1,0.6956522,23
camera (4),0,1,0.3043478,23
camera (5),0.08695652,0.9130435,0.4347826,23
camera (6),0,1,0.6086956,23
camera (7),0.04347826,0.9565217,0.6956522,23

camera (0),0,1,0.7916667,24
camera (1),0,1,0.7083333,24
camera (2),0.6666667,0.3333333,0.3333333,24
camera (3),0,1,0.7083333,24
camera (4),0,1,0.2916667,24
camera (5),0.08333334,0.9166667,0.4583333,24
camera (6),0,1,0.5833333,24
camera (7),0.04166667,0.9583333,0.7083333,24

camera (0),0,1,0.76,25
camera (1),0,1,0.72,25
camera (2),0.68,0.32,0.32,25
camera (3),0,1,0.72,25
camera (4),0,1,0.28,25
camera (5),0.12,0.88,0.44,25
camera (6),0,1,0.56,25
camera (7),0.04,0.96,0.72,25

camera (0),0,1,0.7307692,26
camera (1),0,1,0.7307692,26
camera (2),0.6923077,0.3076923,0.3076923,26
camera (3),0,1,0.7307692,26
camera (4),0,1,0.2692308,26
camera (5),0.1538462,0.8461539,0.4230769,26
camera (6),0,1,0.5384616,26
camera (7),0.03846154,0.9615384,0.7307692,26

camera (0),0,1,0.7037037,27
camera (1),0,1,0.7407407,27
camera (2),0.7037037,0.2962963,0.2962963,27
camera (3),0,1,0.7407407,27
camera (4),0,1,0.2592593,27
camera (5),0.1851852,0.8148148,0.4074074,27
camera (6),0,1,0.5185185,27
camera (7),0.03703704,0.9629629,0.7407407,27

camera (0),0,1,0.6785714,28
camera (1),0,1,0.75,28
camera (2),0.7142857,0.2857143,0.2857143,28
camera (3),0,1,0.75,28
camera (4),0,1,0.25,28
camera (5),0.2142857,0.7857143,0.3928571,28
camera (6),0,1,0.5,28
camera (7),0.03571429,0.9642857,0.75,28

camera (0),0,1,0.6896552,29
camera (1),0,1,0.7586207,29
camera (2),0.7241379,0.2758621,0.2758621,29
camera (3),0,1,0.7586207,29
camera (4),0,1,0.2413793,29
camera (5),0.2413793,0.7586207,0.3793103,29
camera (6),0,1,0.4827586,29
camera (7),0.03448276,0.9655172,0.7586207,29

camera (0),0,1,0.7,30
camera (1),0,1,0.7666667,30
camera (2),0.7333333,0.2666667,0.2666667,30
camera (3),0,1,0.7666667,30
camera (4),0,1,0.2666667,30
camera (5),0.2666667,0.7333333,0.3666667,30
camera (6),0,1,0.4666667,30
camera (7),0.03333334,0.9666666,0.7666667,30

camera (0),0,1,0.7096774,31
camera (1),0,1,0.7741935,31
camera (2),0.7419355,0.2580645,0.2580645,31
camera (3),0,1,0.7741935,31
camera (4),0,1,0.2580645,31
camera (5),0.2903226,0.7096774,0.3548387,31
camera (6),0,1,0.483871,31
camera (7),0.03225806,0.9677419,0.7741935,31

camera (0),0,1,0.71875,32
camera (1),0,1,0.78125,32
camera (2),0.75,0.25,0.25,32
camera (3),0,1,0.78125,32
camera (4),0,1,0.25,32
camera (5),0.3125,0.6875,0.34375,32
camera (6),0,1,0.5,32
camera (7),0.03125,0.96875,0.78125,32

camera (0),0,1,0.7272727,33
camera (1),0,1,0.7878788,33
camera (2),0.7575758,0.2424242,0.2424242,33
camera (3),0,1,0.7878788,33
camera (4),0,1,0.2424242,33
camera (5),0.3333333,0.6666667,0.3333333,33
camera (6),0,1,0.4848485,33
camera (7),0.03030303,0.969697,0.7878788,33

camera (0),0,1,0.7352941,34
camera (1),0,1,0.7941176,34
camera (2),0.7647059,0.2352941,0.2352941,34
camera (3),0,1,0.7941176,34
camera (4),0,1,0.2352941,34
camera (5),0.3529412,0.6470588,0.3235294,34
camera (6),0,1,0.4705882,34
camera (7),0.02941176,0.9705882,0.7941176,34

camera (0),0,1,0.7428572,35
camera (1),0,1,0.8,35
camera (2),0.7714286,0.2285714,0.2285714,35
camera (3),0,1,0.8,35
camera (4),0,1,0.2285714,35
camera (5),0.3714286,0.6285715,0.3142857,35
camera (6),0,1,0.4571429,35
camera (7),0.02857143,0.9714286,0.8,35

camera (0),0,1,0.7222222,36
camera (1),0,1,0.8055556,36
camera (2),0.7777778,0.2222222,0.2222222,36
camera (3),0,1,0.8055556,36
camera (4),0,1,0.2222222,36
camera (5),0.3611111,0.6388889,0.3333333,36
camera (6),0,1,0.4444444,36
camera (7),0.02777778,0.9722223,0.8055556,36

camera (0),0,1,0.7297297,37
camera (1),0,1,0.8108108,37
camera (2),0.7837838,0.2162162,0.2162162,37
camera (3),0,1,0.8108108,37
camera (4),0,1,0.2162162,37
camera (5),0.3513514,0.6486486,0.3513514,37
camera (6),0,1,0.4324324,37
camera (7),0.02702703,0.972973,0.8108108,37

camera (0),0,1,0.7368421,38
camera (1),0,1,0.8157895,38
camera (2),0.7894737,0.2105263,0.2105263,38
camera (3),0,1,0.8157895,38
camera (4),0,1,0.2105263,38
camera (5),0.3421053,0.6578947,0.368421,38
camera (6),0,1,0.4210526,38
camera (7),0.02631579,0.9736842,0.8157895,38

camera (0),0,1,0.7435898,39
camera (1),0,1,0.8205128,39
camera (2),0.7948718,0.2051282,0.2051282,39
camera (3),0,1,0.8205128,39
camera (4),0,1,0.2051282,39
camera (5),0.3333333,0.6666667,0.3846154,39
camera (6),0,1,0.4102564,39
camera (7),0.02564103,0.974359,0.8205128,39

camera (0),0,1,0.75,40
camera (1),0,1,0.825,40
camera (2),0.8,0.2,0.2,40
camera (3),0,1,0.825,40
camera (4),0,1,0.225,40
camera (5),0.325,0.675,0.4,40
camera (6),0,1,0.425,40
camera (7),0.025,0.975,0.825,40

camera (0),0,1,0.7317073,41
camera (1),0,1,0.8292683,41
camera (2),0.8048781,0.1951219,0.1951219,41
camera (3),0,1,0.8292683,41
camera (4),0,1,0.2195122,41
camera (5),0.3170732,0.6829268,0.4146341,41
camera (6),0,1,0.4146341,41
camera (7),0.02439024,0.9756097,0.8292683,41

camera (0),0,1,0.7380952,42
camera (1),0,1,0.8333333,42
camera (2),0.8095238,0.1904762,0.1904762,42
camera (3),0,1,0.8333333,42
camera (4),0,1,0.2142857,42
camera (5),0.3095238,0.6904762,0.4285714,42
camera (6),0,1,0.4047619,42
camera (7),0.02380952,0.9761904,0.8333333,42

camera (0),0,1,0.744186,43
camera (1),0,1,0.8372093,43
camera (2),0.8139535,0.1860465,0.1860465,43
camera (3),0,1,0.8139535,43
camera (4),0,1,0.2093023,43
camera (5),0.3023256,0.6976744,0.4418605,43
camera (6),0,1,0.4186046,43
camera (7),0.02325581,0.9767442,0.8372093,43

camera (0),0,1,0.75,44
camera (1),0,1,0.8409091,44
camera (2),0.8181818,0.1818182,0.1818182,44
camera (3),0,1,0.8181818,44
camera (4),0,1,0.2045455,44
camera (5),0.2954545,0.7045455,0.4545455,44
camera (6),0,1,0.4318182,44
camera (7),0.02272727,0.9772727,0.8409091,44

camera (0),0,1,0.7555556,45
camera (1),0,1,0.8444445,45
camera (2),0.8222222,0.1777778,0.1777778,45
camera (3),0,1,0.8222222,45
camera (4),0,1,0.2,45
camera (5),0.2888889,0.7111111,0.4666667,45
camera (6),0,1,0.4444444,45
camera (7),0.02222222,0.9777778,0.8444445,45

camera (0),0,1,0.7608696,46
camera (1),0,1,0.8478261,46
camera (2),0.8260869,0.173913,0.173913,46
camera (3),0,1,0.8260869,46
camera (4),0,1,0.1956522,46
camera (5),0.2826087,0.7173913,0.4782609,46
camera (6),0,1,0.4565217,46
camera (7),0.02173913,0.9782609,0.8478261,46

camera (0),0,1,0.7659575,47
camera (1),0,1,0.8510638,47
camera (2),0.8297873,0.1702128,0.1702128,47
camera (3),0,1,0.8297873,47
camera (4),0,1,0.212766,47
camera (5),0.2765957,0.7234043,0.4893617,47
camera (6),0,1,0.4680851,47
camera (7),0.0212766,0.9787234,0.8510638,47

camera (0),0,1,0.7708333,48
camera (1),0,1,0.8541667,48
camera (2),0.8333333,0.1666667,0.1666667,48
camera (3),0,1,0.8333333,48
camera (4),0,1,0.2291667,48
camera (5),0.2708333,0.7291667,0.5,48
camera (6),0,1,0.4791667,48
camera (7),0.02083333,0.9791667,0.8541667,48

camera (0),0,1,0.7755102,49
camera (1),0,1,0.8571429,49
camera (2),0.8367347,0.1632653,0.1632653,49
camera (3),0,1,0.8367347,49
camera (4),0,1,0.244898,49
camera (5),0.2653061,0.7346939,0.5102041,49
camera (6),0,1,0.4897959,49
camera (7),0.02040816,0.9795918,0.8571429,49

camera (0),0,1,0.78,50
camera (1),0,1,0.86,50
camera (2),0.84,0.16,0.16,50
camera (3),0,1,0.84,50
camera (4),0,1,0.26,50
camera (5),0.26,0.74,0.52,50
camera (6),0,1,0.5,50
camera (7),0.02,0.98,0.86,50

camera (0),0,1,0.7843137,51
camera (1),0,1,0.8627451,51
camera (2),0.8431373,0.1568628,0.1568628,51
camera (3),0,1,0.8431373,51
camera (4),0,1,0.254902,51
camera (5),0.254902,0.7450981,0.5294118,51
camera (6),0,1,0.509804,51
camera (7),0.01960784,0.9803922,0.8627451,51

camera (0),0,1,0.7884616,52
camera (1),0,1,0.8653846,52
camera (2),0.8461539,0.1538462,0.1538462,52
camera (3),0,1,0.8461539,52
camera (4),0,1,0.25,52
camera (5),0.25,0.75,0.5384616,52
camera (6),0,1,0.5192308,52
camera (7),0.01923077,0.9807693,0.8653846,52

camera (0),0,1,0.7924528,53
camera (1),0,1,0.8679245,53
camera (2),0.8490566,0.1509434,0.1509434,53
camera (3),0,1,0.8490566,53
camera (4),0,1,0.245283,53
camera (5),0.245283,0.754717,0.5471698,53
camera (6),0,1,0.5283019,53
camera (7),0.01886792,0.981132,0.8679245,53

camera (0),0,1,0.7962963,54
camera (1),0,1,0.8703704,54
camera (2),0.8518519,0.1481481,0.1481481,54
camera (3),0,1,0.8518519,54
camera (4),0,1,0.2407407,54
camera (5),0.2407407,0.7592593,0.5555556,54
camera (6),0,1,0.537037,54
camera (7),0.01851852,0.9814815,0.8703704,54

camera (0),0,1,0.8,55
camera (1),0,1,0.8727273,55
camera (2),0.8545455,0.1454545,0.1454545,55
camera (3),0,1,0.8545455,55
camera (4),0,1,0.2363636,55
camera (5),0.2363636,0.7636364,0.5636364,55
camera (6),0,1,0.5454546,55
camera (7),0.01818182,0.9818182,0.8727273,55

camera (0),0,1,0.8035714,56
camera (1),0,1,0.875,56
camera (2),0.8571429,0.1428571,0.1428571,56
camera (3),0,1,0.8571429,56
camera (4),0,1,0.2321429,56
camera (5),0.2321429,0.7678572,0.5714286,56
camera (6),0,1,0.5357143,56
camera (7),0.01785714,0.9821429,0.875,56

camera (0),0,1,0.8070176,57
camera (1),0,1,0.877193,57
camera (2),0.8596491,0.1403509,0.1403509,57
camera (3),0,1,0.8596491,57
camera (4),0,1,0.2280702,57
camera (5),0.2280702,0.7719298,0.5789474,57
camera (6),0,1,0.5263158,57
camera (7),0.01754386,0.9824561,0.877193,57

camera (0),0,1,0.8103448,58
camera (1),0,1,0.8793104,58
camera (2),0.862069,0.137931,0.137931,58
camera (3),0,1,0.862069,58
camera (4),0,1,0.2241379,58
camera (5),0.2241379,0.7758621,0.5862069,58
camera (6),0,1,0.5172414,58
camera (7),0.01724138,0.9827586,0.8793104,58

camera (0),0,1,0.8135593,59
camera (1),0,1,0.8813559,59
camera (2),0.8644068,0.1355932,0.1355932,59
camera (3),0,1,0.8644068,59
