"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (0),0,1,0.9565217,23
camera (1),0,1,0.9565217,23
camera (2),0,1,0.9565217,23
camera (3),0,1,0.9565217,23
camera (4),0,1,0.9565217,23
camera (5),0.5217391,0.4782609,0.4782609,23
camera (6),0.04347826,0.9565217,0.7826087,23
camera (7),0.1304348,0.8695652,0.8695652,23

camera (0),0,1,0.9583333,24
camera (1),0,1,0.9583333,24
camera (2),0,1,0.9583333,24
camera (3),0,1,0.9583333,24
camera (4),0,1,0.9583333,24
camera (5),0.5,0.5,0.5,24
camera (6),0.04166667,0.9583334,0.7916667,24
camera (7),0.125,0.875,0.875,24

camera (0),0,1,0.96,25
camera (1),0,1,0.96,25
camera (2),0,1,0.96,25
camera (3),0,1,0.96,25
camera (4),0,1,0.96,25
camera (5),0.48,0.52,0.52,25
camera (6),0.04,0.96,0.8,25
camera (7),0.12,0.88,0.88,25

camera (0),0,1,0.9615384,26
camera (1),0,1,0.9615384,26
camera (2),0,1,0.9615384,26
camera (3),0,1,0.9615384,26
camera (4),0,1,0.9615384,26
camera (5),0.4615385,0.5384616,0.5384616,26
camera (6),0.03846154,0.9615384,0.8076923,26
camera (7),0.1153846,0.8846154,0.8846154,26

camera (0),0,1,0.962963,27
camera (1),0,1,0.962963,27
camera (2),0,1,0.962963,27
camera (3),0,1,0.962963,27
camera (4),0,1,0.962963,27
camera (5),0.4444444,0.5555556,0.5555556,27
camera (6),0.03703704,0.962963,0.8148148,27
camera (7),0.1111111,0.8888889,0.8888889,27

camera (0),0,1,0.9642857,28
camera (1),0,1,0.9642857,28
camera (2),0,1,0.9642857,28
camera (3),0,1,0.9642857,28
camera (4),0,1,0.9642857,28
camera (5),0.4285714,0.5714286,0.5714286,28
camera (6),0.03571429,0.9642857,0.8214286,28
camera (7),0.1071429,0.8928571,0.8928571,28

camera (0),0,1,0.9655172,29
camera (1),0,1,0.9655172,29
camera (2),0,1,0.9655172,29
camera (3),0,1,0.9655172,29
camera (4),0,1,0.9655172,29
camera (5),0.4137931,0.5862069,0.5862069,29
camera (6),0.03448276,0.9655173,0.8275862,29
camera (7),0.1034483,0.8965517,0.8965517,29

camera (0),0,1,0.9666666,30
camera (1),0,1,0.9666666,30
camera (2),0,1,0.9666666,30
camera (3),0,1,0.9666666,30
camera (4),0,1,0.9666666,30
camera (5),0.4,0.6,0.6,30
camera (6),0.03333334,0.9666666,0.8333333,30
camera (7),0.1,0.9,0.9,30

camera (0),0,1,0.9677419,31
camera (1),0,1,0.9677419,31
camera (2),0,1,0.9677419,31
camera (3),0,1,0.9677419,31
camera (4),0,1,0.9677419,31
camera (5),0.3870968,0.6129032,0.6129032,31
camera (6),0.03225806,0.9677419,0.8387097,31
camera (7),0.09677419,0.9032258,0.9032258,31

camera (0),0,1,0.96875,32
